<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
BANEP,D,11/18/11,00:00,1325.0000000,7397
BANEP,D,11/21/11,00:00,1290.0000000,3787
BANEP,D,11/22/11,00:00,1280.0000000,5999
BANEP,D,11/23/11,00:00,1260.0000000,4335
BANEP,D,11/24/11,00:00,1256.0000000,691
BANEP,D,11/25/11,00:00,1241.3000000,902
BANEP,D,11/28/11,00:00,1241.0000000,7917
BANEP,D,11/29/11,00:00,1201.1000000,10073
BANEP,D,11/30/11,00:00,1210.0000000,4134
BANEP,D,12/01/11,00:00,1205.0000000,13311
BANEP,D,12/02/11,00:00,1208.5000000,3760
BANEP,D,12/05/11,00:00,1215.0000000,2891
BANEP,D,12/06/11,00:00,1199.3000000,3946
BANEP,D,12/07/11,00:00,1190.0000000,6568
BANEP,D,12/08/11,00:00,1190.0000000,4546
BANEP,D,12/09/11,00:00,1161.0000000,11926
BANEP,D,12/12/11,00:00,1152.0000000,2486
BANEP,D,12/13/11,00:00,1150.0000000,4265
BANEP,D,12/14/11,00:00,1130.0000000,11758
BANEP,D,12/15/11,00:00,1095.0000000,24139
BANEP,D,12/16/11,00:00,1097.5000000,8714
BANEP,D,12/19/11,00:00,1069.9000000,9671
BANEP,D,12/20/11,00:00,1052.5000000,13494
BANEP,D,12/21/11,00:00,1043.5000000,9490
BANEP,D,12/22/11,00:00,1057.5000000,14407
BANEP,D,12/23/11,00:00,1059.5000000,12739
BANEP,D,12/26/11,00:00,1070.0000000,9527
BANEP,D,12/27/11,00:00,1070.0000000,27855
BANEP,D,12/28/11,00:00,1065.0000000,9490
BANEP,D,12/29/11,00:00,1070.0000000,6950
BANEP,D,12/30/11,00:00,1071.0000000,5308
BANEP,D,01/03/12,00:00,1095.0000000,2529
BANEP,D,01/04/12,00:00,1117.0000000,1294
BANEP,D,01/05/12,00:00,1119.9000000,3420
BANEP,D,01/06/12,00:00,1132.6000000,3620
BANEP,D,01/09/12,00:00,1141.0000000,4946
BANEP,D,01/10/12,00:00,1145.0000000,9014
BANEP,D,01/11/12,00:00,1146.9000000,11168
BANEP,D,01/12/12,00:00,1145.0000000,14012
BANEP,D,01/13/12,00:00,1154.9000000,27974
BANEP,D,01/16/12,00:00,1190.0000000,6638
BANEP,D,01/17/12,00:00,1215.1000000,13470
BANEP,D,01/18/12,00:00,1225.9000000,16448
BANEP,D,01/19/12,00:00,1236.9000000,10533
BANEP,D,01/20/12,00:00,1225.0000000,13107
BANEP,D,01/23/12,00:00,1214.0000000,4944
BANEP,D,01/24/12,00:00,1210.9000000,11079
BANEP,D,01/25/12,00:00,1214.9000000,30565
BANEP,D,01/26/12,00:00,1213.0000000,24467
BANEP,D,01/27/12,00:00,1180.0000000,30523
BANEP,D,01/30/12,00:00,1193.9000000,8795
BANEP,D,01/31/12,00:00,1210.0000000,6474
BANEP,D,02/01/12,00:00,1214.0000000,9960
BANEP,D,02/02/12,00:00,1209.8000000,20489
BANEP,D,02/03/12,00:00,1225.0000000,14188
BANEP,D,02/06/12,00:00,1228.5000000,5785
BANEP,D,02/07/12,00:00,1243.8000000,19706
BANEP,D,02/08/12,00:00,1272.0000000,42179
BANEP,D,02/09/12,00:00,1258.3000000,8074
BANEP,D,02/10/12,00:00,1256.0000000,21192
BANEP,D,02/13/12,00:00,1269.2000000,45961
BANEP,D,02/14/12,00:00,1267.7000000,40191
BANEP,D,02/15/12,00:00,1305.0000000,27385
BANEP,D,02/16/12,00:00,1305.0000000,9283
BANEP,D,02/17/12,00:00,1307.9000000,10811
BANEP,D,02/20/12,00:00,1310.0000000,10458
BANEP,D,02/21/12,00:00,1308.6000000,12161
BANEP,D,02/22/12,00:00,1305.9000000,14587
BANEP,D,02/24/12,00:00,1332.9000000,59975
BANEP,D,02/27/12,00:00,1327.0000000,42280
BANEP,D,02/28/12,00:00,1334.3000000,26732
BANEP,D,02/29/12,00:00,1347.0000000,19628
BANEP,D,03/01/12,00:00,1344.9000000,13812
BANEP,D,03/02/12,00:00,1359.5000000,24747
BANEP,D,03/05/12,00:00,1360.0000000,32788
BANEP,D,03/06/12,00:00,1323.0000000,38055
BANEP,D,03/07/12,00:00,1335.1000000,12127
BANEP,D,03/11/12,00:00,1375.9000000,12880
BANEP,D,03/12/12,00:00,1409.0000000,98605
BANEP,D,03/13/12,00:00,1414.8000000,41636
BANEP,D,03/14/12,00:00,1413.1000000,83964
BANEP,D,03/15/12,00:00,1397.0000000,19161
BANEP,D,03/16/12,00:00,1370.0000000,34956
BANEP,D,03/19/12,00:00,1362.5000000,23053
BANEP,D,03/20/12,00:00,1352.0000000,13739
BANEP,D,03/21/12,00:00,1353.0000000,10551
BANEP,D,03/22/12,00:00,1320.0000000,20621
BANEP,D,03/23/12,00:00,1317.6000000,102819
BANEP,D,03/26/12,00:00,1317.0000000,34949
BANEP,D,03/27/12,00:00,1295.0000000,33531
BANEP,D,03/28/12,00:00,1273.0000000,51528
BANEP,D,03/29/12,00:00,1258.9000000,21240
BANEP,D,03/30/12,00:00,1280.0000000,29220
BANEP,D,04/02/12,00:00,1251.3000000,44341
BANEP,D,04/03/12,00:00,1257.0000000,18327
BANEP,D,04/04/12,00:00,1260.0000000,28623
BANEP,D,04/05/12,00:00,1258.1000000,23071
BANEP,D,04/06/12,00:00,1259.0000000,13417
BANEP,D,04/09/12,00:00,1279.0000000,17542
BANEP,D,04/10/12,00:00,1285.9000000,60731
BANEP,D,04/11/12,00:00,1278.5000000,16930
BANEP,D,04/12/12,00:00,1280.0000000,32234
BANEP,D,04/13/12,00:00,1280.0000000,9934
BANEP,D,04/16/12,00:00,1275.7000000,20155
BANEP,D,04/17/12,00:00,1274.7000000,11741
BANEP,D,04/18/12,00:00,1275.0000000,20649
BANEP,D,04/19/12,00:00,1280.6000000,37295
BANEP,D,04/20/12,00:00,1302.9000000,24810
BANEP,D,04/23/12,00:00,1316.0000000,36718
BANEP,D,04/24/12,00:00,1253.9000000,34039
BANEP,D,04/25/12,00:00,1239.9000000,73837
BANEP,D,04/26/12,00:00,1170.0000000,37767
BANEP,D,04/27/12,00:00,1216.8000000,35372
BANEP,D,04/28/12,00:00,1219.0000000,11711
BANEP,D,05/02/12,00:00,1214.9000000,8705
BANEP,D,05/03/12,00:00,1196.0000000,12635
BANEP,D,05/04/12,00:00,1170.0000000,11370
BANEP,D,05/05/12,00:00,1177.7000000,15793
BANEP,D,05/07/12,00:00,1170.0000000,4476
BANEP,D,05/08/12,00:00,1160.4000000,2301
BANEP,D,05/10/12,00:00,1170.9000000,9987
BANEP,D,05/11/12,00:00,1179.0000000,6534
BANEP,D,05/12/12,00:00,1180.0000000,5089
BANEP,D,05/14/12,00:00,1157.0000000,29299
BANEP,D,05/15/12,00:00,1194.7000000,31294
BANEP,D,05/16/12,00:00,1065.0000000,26504
BANEP,D,05/17/12,00:00,1021.1000000,16342
BANEP,D,05/18/12,00:00,1021.4000000,11944
BANEP,D,05/21/12,00:00,1045.1000000,19199
BANEP,D,05/22/12,00:00,1048.9000000,17809
BANEP,D,05/23/12,00:00,1014.0000000,8503
BANEP,D,05/24/12,00:00,1044.2000000,3595
BANEP,D,05/25/12,00:00,1070.9000000,4395
BANEP,D,05/28/12,00:00,1090.0000000,6285
BANEP,D,05/29/12,00:00,1094.2000000,4080
BANEP,D,05/30/12,00:00,1085.6000000,1019
BANEP,D,05/31/12,00:00,1071.0000000,7594
BANEP,D,06/01/12,00:00,1070.0000000,15195
BANEP,D,06/04/12,00:00,1075.0000000,7633
BANEP,D,06/05/12,00:00,1070.0000000,3690
BANEP,D,06/06/12,00:00,1100.0000000,9825
BANEP,D,06/07/12,00:00,1125.0000000,14348
BANEP,D,06/08/12,00:00,1109.0000000,15899
BANEP,D,06/09/12,00:00,1110.0000000,1002
BANEP,D,06/13/12,00:00,1115.0000000,14961
BANEP,D,06/14/12,00:00,1141.0000000,11121
BANEP,D,06/15/12,00:00,1165.0000000,5092
BANEP,D,06/18/12,00:00,1159.9000000,19424
BANEP,D,06/19/12,00:00,1155.0000000,3163
BANEP,D,06/20/12,00:00,1160.0000000,8923
BANEP,D,06/21/12,00:00,1157.0000000,16959
BANEP,D,06/22/12,00:00,1160.0000000,5954
BANEP,D,06/25/12,00:00,1162.5000000,4764
BANEP,D,06/26/12,00:00,1161.7000000,4606
BANEP,D,06/27/12,00:00,1155.0000000,2809
BANEP,D,06/28/12,00:00,1160.0000000,9327
BANEP,D,06/29/12,00:00,1175.0000000,13302
BANEP,D,07/02/12,00:00,1209.0000000,15463
BANEP,D,07/03/12,00:00,1205.0000000,9441
BANEP,D,07/04/12,00:00,1205.0000000,10395
BANEP,D,07/05/12,00:00,1200.0000000,2902
BANEP,D,07/06/12,00:00,1195.1000000,9375
BANEP,D,07/09/12,00:00,1192.4000000,16369
BANEP,D,07/10/12,00:00,1208.0000000,39082
BANEP,D,07/11/12,00:00,1200.0000000,1965
BANEP,D,07/12/12,00:00,1184.9000000,4743
BANEP,D,07/13/12,00:00,1189.9000000,8708
BANEP,D,07/16/12,00:00,1194.7000000,18221
BANEP,D,07/17/12,00:00,1200.0000000,25741
BANEP,D,07/18/12,00:00,1194.1000000,9069
BANEP,D,07/19/12,00:00,1189.9000000,13822
BANEP,D,07/20/12,00:00,1170.0000000,11570
BANEP,D,07/23/12,00:00,1124.0000000,21619
BANEP,D,07/24/12,00:00,1129.0000000,13485
BANEP,D,07/25/12,00:00,1128.8000000,5244
BANEP,D,07/26/12,00:00,1129.9000000,14392
BANEP,D,07/27/12,00:00,1137.0000000,38393
BANEP,D,07/30/12,00:00,1137.7000000,11241
BANEP,D,07/31/12,00:00,1150.0000000,20457
BANEP,D,08/01/12,00:00,1125.1000000,13716
BANEP,D,08/02/12,00:00,1127.0000000,7019
BANEP,D,08/03/12,00:00,1126.8000000,14742
