<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
GAZP,D,01/11/10,00:00,194.5000000,59465172
GAZP,D,01/12/10,00:00,191.8000000,43441242
GAZP,D,01/13/10,00:00,189.3000000,52375480
GAZP,D,01/14/10,00:00,190.8300000,41093689
GAZP,D,01/15/10,00:00,187.8600000,55517101
GAZP,D,01/18/10,00:00,190.4000000,36485483
GAZP,D,01/19/10,00:00,189.7600000,48577626
GAZP,D,01/20/10,00:00,185.9800000,46820582
GAZP,D,01/21/10,00:00,182.7600000,62742166
GAZP,D,01/22/10,00:00,181.5000000,62766728
GAZP,D,01/25/10,00:00,182.8500000,48596806
GAZP,D,01/26/10,00:00,181.2900000,58930064
GAZP,D,01/27/10,00:00,182.0100000,66478271
GAZP,D,01/28/10,00:00,182.3000000,62483023
GAZP,D,01/29/10,00:00,186.4400000,58421953
GAZP,D,02/01/10,00:00,189.8500000,76241424
GAZP,D,02/02/10,00:00,192.2100000,66786962
GAZP,D,02/03/10,00:00,192.7000000,74612152
GAZP,D,02/04/10,00:00,186.5900000,72596540
GAZP,D,02/05/10,00:00,182.3100000,103157127
GAZP,D,02/08/10,00:00,175.3100000,90280526
GAZP,D,02/09/10,00:00,174.9100000,85445175
GAZP,D,02/10/10,00:00,171.4800000,82438757
GAZP,D,02/11/10,00:00,168.4000000,77394573
GAZP,D,02/12/10,00:00,163.0400000,112301898
GAZP,D,02/15/10,00:00,164.4500000,40189677
GAZP,D,02/16/10,00:00,172.1800000,81622882
GAZP,D,02/17/10,00:00,171.3500000,72255041
GAZP,D,02/18/10,00:00,168.4000000,74926678
GAZP,D,02/19/10,00:00,171.8300000,65146638
GAZP,D,02/24/10,00:00,171.0000000,50034730
GAZP,D,02/25/10,00:00,165.4800000,58719324
GAZP,D,02/26/10,00:00,166.7200000,57393829
GAZP,D,02/27/10,00:00,167.6100000,12717292
GAZP,D,03/01/10,00:00,168.2000000,58511166
GAZP,D,03/02/10,00:00,169.5100000,50287139
GAZP,D,03/03/10,00:00,170.1000000,50211947
GAZP,D,03/04/10,00:00,172.2700000,72166688
GAZP,D,03/05/10,00:00,176.8000000,90368301
GAZP,D,03/09/10,00:00,175.4700000,58860930
GAZP,D,03/10/10,00:00,173.7700000,64130850
GAZP,D,03/11/10,00:00,170.6200000,49240452
GAZP,D,03/12/10,00:00,172.7100000,58569566
GAZP,D,03/15/10,00:00,169.2700000,45483972
GAZP,D,03/16/10,00:00,171.3500000,40957005
GAZP,D,03/17/10,00:00,171.9400000,58350355
GAZP,D,03/18/10,00:00,170.6000000,46455714
GAZP,D,03/19/10,00:00,167.0600000,60944936
GAZP,D,03/22/10,00:00,169.2900000,68271396
GAZP,D,03/23/10,00:00,167.6000000,58209362
GAZP,D,03/24/10,00:00,164.8500000,54015845
GAZP,D,03/25/10,00:00,162.3000000,95035318
GAZP,D,03/26/10,00:00,161.1000000,79313075
GAZP,D,03/29/10,00:00,164.5500000,57981050
GAZP,D,03/30/10,00:00,170.4400000,105989776
GAZP,D,03/31/10,00:00,171.5000000,96441019
GAZP,D,04/01/10,00:00,175.0000000,94908340
GAZP,D,04/02/10,00:00,175.3400000,46522737
GAZP,D,04/05/10,00:00,175.8800000,29090638
GAZP,D,04/06/10,00:00,177.1000000,107075008
GAZP,D,04/07/10,00:00,174.9900000,59478100
GAZP,D,04/08/10,00:00,174.5400000,67325864
GAZP,D,04/09/10,00:00,175.1500000,55841194
GAZP,D,04/12/10,00:00,175.9300000,50074436
GAZP,D,04/13/10,00:00,174.3000000,42538315
GAZP,D,04/14/10,00:00,181.4000000,103449718
GAZP,D,04/15/10,00:00,185.1600000,123009078
GAZP,D,04/16/10,00:00,179.9900000,70700047
GAZP,D,04/19/10,00:00,174.5100000,84129689
GAZP,D,04/20/10,00:00,175.1500000,63843580
GAZP,D,04/21/10,00:00,173.0900000,68848602
GAZP,D,04/22/10,00:00,170.7000000,73358011
GAZP,D,04/23/10,00:00,175.0000000,63994764
GAZP,D,04/26/10,00:00,177.9900000,58579972
GAZP,D,04/27/10,00:00,175.6000000,49939901
GAZP,D,04/28/10,00:00,170.5600000,83968624
GAZP,D,04/29/10,00:00,174.5000000,71814184
GAZP,D,04/30/10,00:00,170.0000000,55733699
GAZP,D,05/04/10,00:00,164.2300000,59163748
GAZP,D,05/05/10,00:00,164.2000000,68578527
GAZP,D,05/06/10,00:00,163.7900000,64102854
GAZP,D,05/07/10,00:00,155.0000000,85190663
GAZP,D,05/11/10,00:00,160.0900000,59694316
GAZP,D,05/12/10,00:00,166.0700000,70356252
GAZP,D,05/13/10,00:00,162.9000000,64735522
GAZP,D,05/14/10,00:00,159.8600000,50588094
GAZP,D,05/17/10,00:00,161.3800000,66817017
GAZP,D,05/18/10,00:00,163.2800000,56102053
GAZP,D,05/19/10,00:00,157.8100000,64919897
GAZP,D,05/20/10,00:00,151.0500000,79934916
GAZP,D,05/21/10,00:00,150.0000000,95733911
GAZP,D,05/24/10,00:00,151.0000000,58607267
GAZP,D,05/25/10,00:00,143.0000000,70253198
GAZP,D,05/26/10,00:00,158.4400000,118146806
GAZP,D,05/27/10,00:00,158.4600000,97977981
GAZP,D,05/28/10,00:00,157.8800000,72635953
GAZP,D,05/31/10,00:00,159.8400000,32960892
GAZP,D,06/01/10,00:00,159.2600000,66892664
GAZP,D,06/02/10,00:00,163.8000000,87316760
GAZP,D,06/03/10,00:00,164.9800000,74433310
GAZP,D,06/04/10,00:00,163.0000000,82878818
GAZP,D,06/07/10,00:00,160.5900000,60811369
GAZP,D,06/08/10,00:00,157.3700000,72999094
