<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
KRKNP,D,12/12/11,00:00,6800.0000000,1
KRKNP,D,12/15/11,00:00,5001.0000000,1
KRKNP,D,12/19/11,00:00,6290.0000000,1
KRKNP,D,12/22/11,00:00,6000.0000000,87
KRKNP,D,12/30/11,00:00,6150.0000000,1
KRKNP,D,01/09/12,00:00,6150.0000000,2
KRKNP,D,01/10/12,00:00,5600.0000000,47
KRKNP,D,01/11/12,00:00,5800.0000000,7
KRKNP,D,01/12/12,00:00,5500.0000000,1
KRKNP,D,01/13/12,00:00,6200.0000000,63
KRKNP,D,01/16/12,00:00,6300.0000000,5
KRKNP,D,01/17/12,00:00,6300.0000000,11
KRKNP,D,01/18/12,00:00,6300.0000000,42
KRKNP,D,01/19/12,00:00,6500.0000000,2
KRKNP,D,01/20/12,00:00,6300.0000000,16
KRKNP,D,01/26/12,00:00,6402.0000000,1
KRKNP,D,01/30/12,00:00,6020.0000000,1
KRKNP,D,01/31/12,00:00,6300.0000000,1
KRKNP,D,02/01/12,00:00,6490.0000000,1
KRKNP,D,02/06/12,00:00,6207.0000000,5
KRKNP,D,02/07/12,00:00,6400.0000000,2
KRKNP,D,02/10/12,00:00,6490.0000000,1
KRKNP,D,02/17/12,00:00,6650.0000000,3
KRKNP,D,02/20/12,00:00,6401.0000000,15
KRKNP,D,02/21/12,00:00,6200.0000000,2
KRKNP,D,02/24/12,00:00,6100.0000000,2
KRKNP,D,02/27/12,00:00,6151.0000000,24
KRKNP,D,02/28/12,00:00,5950.0000000,2
KRKNP,D,02/29/12,00:00,6550.0000000,12
KRKNP,D,03/02/12,00:00,6200.0000000,3
KRKNP,D,03/05/12,00:00,6160.0000000,6
KRKNP,D,03/06/12,00:00,6200.0000000,8
KRKNP,D,03/07/12,00:00,6199.0000000,5
KRKNP,D,03/12/12,00:00,5870.0000000,8
KRKNP,D,03/13/12,00:00,5910.0000000,4
KRKNP,D,03/14/12,00:00,6000.0000000,16
KRKNP,D,03/15/12,00:00,6200.0000000,2
KRKNP,D,03/19/12,00:00,6598.0000000,8
KRKNP,D,03/20/12,00:00,5832.0000000,2
KRKNP,D,03/21/12,00:00,5820.0000000,4
KRKNP,D,03/26/12,00:00,6360.0000000,10
KRKNP,D,03/29/12,00:00,5705.0000000,11
KRKNP,D,04/03/12,00:00,6380.0000000,2
KRKNP,D,04/04/12,00:00,5561.0000000,6
KRKNP,D,04/06/12,00:00,5500.0000000,38
KRKNP,D,04/09/12,00:00,5400.0000000,53
KRKNP,D,04/10/12,00:00,5499.0000000,1
KRKNP,D,04/13/12,00:00,5600.0000000,2
KRKNP,D,04/16/12,00:00,5850.0000000,9
KRKNP,D,04/19/12,00:00,5200.0000000,19
KRKNP,D,04/20/12,00:00,5150.0000000,3
KRKNP,D,04/23/12,00:00,5100.0000000,42
KRKNP,D,04/24/12,00:00,5002.0000000,54
KRKNP,D,04/25/12,00:00,5001.0000000,1
KRKNP,D,04/26/12,00:00,5000.0000000,4
KRKNP,D,05/02/12,00:00,5300.0000000,6
KRKNP,D,05/03/12,00:00,5350.0000000,7
KRKNP,D,05/04/12,00:00,5101.0000000,1
KRKNP,D,05/05/12,00:00,5800.0000000,9
KRKNP,D,05/07/12,00:00,5100.0000000,10
KRKNP,D,05/11/12,00:00,5150.0000000,1
KRKNP,D,05/15/12,00:00,5100.0000000,6
KRKNP,D,05/16/12,00:00,4710.0000000,1
KRKNP,D,05/17/12,00:00,5000.0000000,11
KRKNP,D,05/18/12,00:00,5000.0000000,6
KRKNP,D,05/21/12,00:00,4851.0000000,3
KRKNP,D,05/22/12,00:00,4902.0000000,1
KRKNP,D,05/23/12,00:00,5050.0000000,4
KRKNP,D,05/29/12,00:00,5050.0000000,5
KRKNP,D,05/30/12,00:00,5050.0000000,2
KRKNP,D,05/31/12,00:00,5150.0000000,15
KRKNP,D,06/01/12,00:00,5150.0000000,24
KRKNP,D,06/04/12,00:00,5392.0000000,14
KRKNP,D,06/06/12,00:00,5200.0000000,8
KRKNP,D,06/07/12,00:00,5550.0000000,13
KRKNP,D,06/08/12,00:00,5500.0000000,6
