<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
MFGSP,D,01/11/10,00:00,237.0000000,5003
MFGSP,D,01/12/10,00:00,242.0000000,278
MFGSP,D,01/13/10,00:00,242.8800000,3202
MFGSP,D,01/14/10,00:00,254.5000000,12084
MFGSP,D,01/15/10,00:00,256.8600000,3797
MFGSP,D,01/18/10,00:00,264.0000000,1204
MFGSP,D,01/19/10,00:00,265.8400000,4120
MFGSP,D,01/20/10,00:00,294.7200000,22262
MFGSP,D,01/21/10,00:00,356.4500000,35300
MFGSP,D,01/22/10,00:00,355.0000000,30852
MFGSP,D,01/25/10,00:00,344.7300000,4153
MFGSP,D,01/26/10,00:00,309.9600000,8135
MFGSP,D,01/27/10,00:00,319.8900000,1652
MFGSP,D,01/28/10,00:00,314.9900000,31608
MFGSP,D,01/29/10,00:00,321.9900000,2757
MFGSP,D,02/01/10,00:00,320.8500000,22205
MFGSP,D,02/02/10,00:00,318.9400000,21417
MFGSP,D,02/03/10,00:00,318.0000000,1788
MFGSP,D,02/04/10,00:00,318.8300000,814
MFGSP,D,02/05/10,00:00,310.0000000,2516
MFGSP,D,02/08/10,00:00,306.0000000,5112
MFGSP,D,02/09/10,00:00,306.0000000,14797
MFGSP,D,02/10/10,00:00,311.0000000,22494
MFGSP,D,02/11/10,00:00,309.0000000,4610
MFGSP,D,02/12/10,00:00,306.0000000,1229
MFGSP,D,02/15/10,00:00,308.8400000,319
MFGSP,D,02/16/10,00:00,319.9900000,2406
MFGSP,D,02/17/10,00:00,318.0000000,462
MFGSP,D,02/18/10,00:00,317.9200000,472
MFGSP,D,02/19/10,00:00,312.0200000,284
MFGSP,D,02/24/10,00:00,329.0000000,2858
MFGSP,D,02/25/10,00:00,317.0000000,2092
MFGSP,D,02/26/10,00:00,310.9200000,2752
MFGSP,D,02/27/10,00:00,310.0000000,1518
MFGSP,D,03/01/10,00:00,313.0000000,5163
MFGSP,D,03/02/10,00:00,319.3400000,936
MFGSP,D,03/03/10,00:00,319.9900000,604
MFGSP,D,03/04/10,00:00,319.9900000,1222
MFGSP,D,03/05/10,00:00,323.0000000,1022
MFGSP,D,03/09/10,00:00,321.8700000,1008
MFGSP,D,03/10/10,00:00,327.0000000,3991
MFGSP,D,03/11/10,00:00,322.0000000,51571
MFGSP,D,03/12/10,00:00,323.0000000,26982
MFGSP,D,03/15/10,00:00,315.3100000,5352
