<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
NVTK,D,01/11/10,00:00,177.5000000,445195
NVTK,D,01/12/10,00:00,174.9000000,348607
NVTK,D,01/13/10,00:00,177.0000000,415603
NVTK,D,01/14/10,00:00,180.9000000,400396
NVTK,D,01/15/10,00:00,179.2000000,269248
NVTK,D,01/18/10,00:00,183.3000000,273617
NVTK,D,01/19/10,00:00,190.9900000,563127
NVTK,D,01/20/10,00:00,188.6000000,532741
NVTK,D,01/21/10,00:00,185.1000000,296848
NVTK,D,01/22/10,00:00,184.6000000,511634
NVTK,D,01/25/10,00:00,185.6000000,355344
NVTK,D,01/26/10,00:00,182.5000000,396692
NVTK,D,01/27/10,00:00,183.5000000,255531
NVTK,D,01/28/10,00:00,184.5000000,390673
NVTK,D,01/29/10,00:00,185.4500000,171917
NVTK,D,02/01/10,00:00,184.0000000,678003
NVTK,D,02/02/10,00:00,185.9900000,981370
NVTK,D,02/03/10,00:00,184.4700000,563106
NVTK,D,02/04/10,00:00,179.6200000,351262
NVTK,D,02/05/10,00:00,170.9200000,1785402
NVTK,D,02/08/10,00:00,165.1000000,519583
NVTK,D,02/09/10,00:00,166.4600000,248217
NVTK,D,02/10/10,00:00,165.0000000,464270
NVTK,D,02/11/10,00:00,168.4400000,405864
NVTK,D,02/12/10,00:00,170.5000000,671292
NVTK,D,02/15/10,00:00,175.9000000,533459
NVTK,D,02/16/10,00:00,180.4700000,474260
NVTK,D,02/17/10,00:00,178.3700000,368140
NVTK,D,02/18/10,00:00,176.0100000,506163
NVTK,D,02/19/10,00:00,179.8800000,529846
NVTK,D,02/24/10,00:00,177.0100000,168044
NVTK,D,02/25/10,00:00,168.9900000,330758
NVTK,D,02/26/10,00:00,166.0000000,676501
NVTK,D,02/27/10,00:00,167.7400000,232199
NVTK,D,03/01/10,00:00,169.0000000,660461
NVTK,D,03/02/10,00:00,172.3600000,513903
NVTK,D,03/03/10,00:00,177.5000000,815250
NVTK,D,03/04/10,00:00,179.1300000,798863
NVTK,D,03/05/10,00:00,182.3000000,580766
NVTK,D,03/09/10,00:00,188.2000000,523119
NVTK,D,03/10/10,00:00,189.8000000,684361
NVTK,D,03/11/10,00:00,191.2900000,461727
NVTK,D,03/12/10,00:00,192.0200000,890811
NVTK,D,03/15/10,00:00,188.8900000,534269
NVTK,D,03/16/10,00:00,190.2100000,444378
NVTK,D,03/17/10,00:00,191.0300000,309364
NVTK,D,03/18/10,00:00,190.7700000,326571
NVTK,D,03/19/10,00:00,188.1600000,311919
NVTK,D,03/22/10,00:00,189.9800000,311227
NVTK,D,03/23/10,00:00,186.6000000,222521
NVTK,D,03/24/10,00:00,183.0700000,284237
NVTK,D,03/25/10,00:00,187.0000000,239749
NVTK,D,03/26/10,00:00,191.8000000,339798
NVTK,D,03/29/10,00:00,195.7900000,746042
NVTK,D,03/30/10,00:00,194.7600000,435604
NVTK,D,03/31/10,00:00,193.0900000,214600
NVTK,D,04/01/10,00:00,193.4900000,188356
NVTK,D,04/02/10,00:00,194.8500000,301953
NVTK,D,04/05/10,00:00,194.9900000,155105
NVTK,D,04/06/10,00:00,194.0000000,171898
NVTK,D,04/07/10,00:00,190.0200000,308860
NVTK,D,04/08/10,00:00,191.0100000,425999
NVTK,D,04/09/10,00:00,192.6600000,190220
NVTK,D,04/12/10,00:00,194.4000000,512079
NVTK,D,04/13/10,00:00,197.9900000,1468919
NVTK,D,04/14/10,00:00,205.0000000,1022007
NVTK,D,04/15/10,00:00,202.2800000,582808
NVTK,D,04/16/10,00:00,197.5100000,365025
NVTK,D,04/19/10,00:00,193.9900000,429343
NVTK,D,04/20/10,00:00,195.1000000,190427
NVTK,D,04/21/10,00:00,196.9400000,425075
NVTK,D,04/22/10,00:00,197.4000000,544892
NVTK,D,04/23/10,00:00,198.9800000,150842
NVTK,D,04/26/10,00:00,203.8000000,484591
NVTK,D,04/27/10,00:00,199.9600000,944394
NVTK,D,04/28/10,00:00,195.7400000,633090
NVTK,D,04/29/10,00:00,198.1300000,227012
NVTK,D,04/30/10,00:00,198.0000000,330057
NVTK,D,05/04/10,00:00,190.0100000,315958
NVTK,D,05/05/10,00:00,182.9700000,668950
NVTK,D,05/06/10,00:00,179.6100000,873543
NVTK,D,05/07/10,00:00,168.6700000,611376
NVTK,D,05/11/10,00:00,177.5400000,297762
NVTK,D,05/12/10,00:00,190.0000000,790687
