<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RNFT,D,11/25/16,00:00,558.0000000,17386
RNFT,D,11/28/16,00:00,551.9000000,27947
RNFT,D,11/29/16,00:00,550.2000000,26707
RNFT,D,11/30/16,00:00,556.0000000,36222
RNFT,D,12/01/16,00:00,557.3000000,11613
RNFT,D,12/02/16,00:00,558.0000000,40807
RNFT,D,12/05/16,00:00,559.5000000,29074
RNFT,D,12/06/16,00:00,555.1000000,11696
RNFT,D,12/07/16,00:00,554.5000000,19092
RNFT,D,12/08/16,00:00,552.0000000,28042
RNFT,D,12/09/16,00:00,551.0000000,20905
RNFT,D,12/12/16,00:00,553.0000000,18069
RNFT,D,12/13/16,00:00,552.4000000,16810
RNFT,D,12/14/16,00:00,555.0000000,33772
RNFT,D,12/15/16,00:00,555.0000000,38211
RNFT,D,12/16/16,00:00,555.2000000,32730
RNFT,D,12/19/16,00:00,556.8000000,31808
RNFT,D,12/20/16,00:00,559.7000000,38388
RNFT,D,12/21/16,00:00,559.8000000,41957
RNFT,D,12/22/16,00:00,559.9000000,41377
RNFT,D,12/23/16,00:00,558.8000000,39713
RNFT,D,12/26/16,00:00,559.4000000,37733
RNFT,D,12/27/16,00:00,559.5000000,39964
RNFT,D,12/28/16,00:00,559.6000000,28147
RNFT,D,12/29/16,00:00,559.6000000,24045
RNFT,D,12/30/16,00:00,558.6000000,24936
RNFT,D,01/03/17,00:00,559.2000000,6557
RNFT,D,01/04/17,00:00,559.9000000,18855
RNFT,D,01/05/17,00:00,559.9000000,15488
RNFT,D,01/06/17,00:00,559.1000000,16940
RNFT,D,01/09/17,00:00,559.3000000,37448
RNFT,D,01/10/17,00:00,559.3000000,36056
RNFT,D,01/11/17,00:00,559.3000000,40027
RNFT,D,01/12/17,00:00,559.6000000,44018
RNFT,D,01/13/17,00:00,559.4000000,38190
RNFT,D,01/16/17,00:00,559.4000000,45042
RNFT,D,01/17/17,00:00,559.6000000,36113
RNFT,D,01/18/17,00:00,559.3000000,37764
RNFT,D,01/19/17,00:00,559.6000000,37207
RNFT,D,01/20/17,00:00,559.5000000,36332
RNFT,D,01/23/17,00:00,559.4000000,36099
RNFT,D,01/24/17,00:00,559.5000000,36553
RNFT,D,01/25/17,00:00,559.6000000,37412
RNFT,D,01/26/17,00:00,560.1000000,37518
RNFT,D,01/27/17,00:00,559.3000000,39328
RNFT,D,01/30/17,00:00,559.3000000,39305
RNFT,D,01/31/17,00:00,559.3000000,28747
RNFT,D,02/01/17,00:00,559.4000000,41299
RNFT,D,02/02/17,00:00,559.4000000,36662
RNFT,D,02/03/17,00:00,559.6000000,36374
RNFT,D,02/06/17,00:00,559.5000000,40743
RNFT,D,02/07/17,00:00,559.4000000,38371
RNFT,D,02/08/17,00:00,559.9000000,36136
RNFT,D,02/09/17,00:00,560.0000000,37943
RNFT,D,02/10/17,00:00,559.9000000,36934
RNFT,D,02/13/17,00:00,560.0000000,41458
RNFT,D,02/14/17,00:00,562.4000000,44341
RNFT,D,02/15/17,00:00,561.7000000,27632
RNFT,D,02/16/17,00:00,560.0000000,40692
RNFT,D,02/17/17,00:00,560.0000000,33587
RNFT,D,02/20/17,00:00,559.2000000,33827
RNFT,D,02/21/17,00:00,560.0000000,37061
RNFT,D,02/22/17,00:00,560.2000000,37950
RNFT,D,02/24/17,00:00,559.7000000,10992
RNFT,D,02/27/17,00:00,559.8000000,32742
RNFT,D,02/28/17,00:00,559.9000000,34140
RNFT,D,03/01/17,00:00,561.2000000,38964
RNFT,D,03/02/17,00:00,561.0000000,34572
RNFT,D,03/03/17,00:00,560.3000000,34551
RNFT,D,03/06/17,00:00,560.6000000,34348
RNFT,D,03/07/17,00:00,559.7000000,33351
RNFT,D,03/09/17,00:00,559.0000000,51064
RNFT,D,03/10/17,00:00,559.2000000,45144
RNFT,D,03/13/17,00:00,559.4000000,40307
RNFT,D,03/14/17,00:00,559.3000000,48051
RNFT,D,03/15/17,00:00,558.9000000,75933
RNFT,D,03/16/17,00:00,558.2000000,54170
RNFT,D,03/17/17,00:00,558.8000000,42013
RNFT,D,03/20/17,00:00,558.2000000,38065
RNFT,D,03/21/17,00:00,557.6000000,38797
RNFT,D,03/22/17,00:00,557.4000000,37350
RNFT,D,03/23/17,00:00,557.2000000,34150
RNFT,D,03/24/17,00:00,558.6000000,35018
RNFT,D,03/27/17,00:00,560.7000000,36641
RNFT,D,03/28/17,00:00,562.1000000,35860
RNFT,D,03/29/17,00:00,559.8000000,34324
RNFT,D,03/30/17,00:00,562.0000000,35972
RNFT,D,03/31/17,00:00,560.8000000,36320
RNFT,D,04/03/17,00:00,561.8000000,36040
RNFT,D,04/04/17,00:00,562.1000000,36158
RNFT,D,04/05/17,00:00,560.8000000,37309
RNFT,D,04/06/17,00:00,561.0000000,37415
RNFT,D,04/07/17,00:00,561.6000000,34422
RNFT,D,04/10/17,00:00,561.1000000,40863
RNFT,D,04/11/17,00:00,559.8000000,38818
RNFT,D,04/12/17,00:00,559.6000000,37939
RNFT,D,04/13/17,00:00,560.9000000,38739
RNFT,D,04/14/17,00:00,560.0000000,36183
RNFT,D,04/17/17,00:00,560.2000000,36058
RNFT,D,04/18/17,00:00,560.3000000,39234
RNFT,D,04/19/17,00:00,560.7000000,40843
RNFT,D,04/20/17,00:00,561.6000000,45954
RNFT,D,04/21/17,00:00,563.5000000,27963
RNFT,D,04/24/17,00:00,564.2000000,32747
RNFT,D,04/25/17,00:00,564.7000000,48334
RNFT,D,04/26/17,00:00,568.5000000,48422
RNFT,D,04/27/17,00:00,579.7000000,36037
RNFT,D,04/28/17,00:00,587.9000000,82812
RNFT,D,05/02/17,00:00,587.2000000,44499
RNFT,D,05/03/17,00:00,584.6000000,34296
RNFT,D,05/04/17,00:00,587.8000000,38384
RNFT,D,05/05/17,00:00,585.8000000,39146
RNFT,D,05/10/17,00:00,583.8000000,33446
RNFT,D,05/11/17,00:00,584.4000000,32765
RNFT,D,05/12/17,00:00,585.3000000,63101
RNFT,D,05/15/17,00:00,585.2000000,34400
RNFT,D,05/16/17,00:00,584.9000000,33213
RNFT,D,05/17/17,00:00,583.9000000,45714
RNFT,D,05/18/17,00:00,584.6000000,32729
RNFT,D,05/19/17,00:00,585.0000000,33565
RNFT,D,05/22/17,00:00,584.9000000,37045
RNFT,D,05/23/17,00:00,574.9000000,35116
RNFT,D,05/24/17,00:00,586.5000000,35469
RNFT,D,05/25/17,00:00,586.8000000,29875
RNFT,D,05/26/17,00:00,586.3000000,29243
RNFT,D,05/29/17,00:00,588.3000000,31738
RNFT,D,05/30/17,00:00,587.1000000,34375
RNFT,D,05/31/17,00:00,592.0000000,42049
RNFT,D,06/01/17,00:00,599.9000000,82871
RNFT,D,06/02/17,00:00,600.0000000,36374
RNFT,D,06/05/17,00:00,609.8000000,48893
RNFT,D,06/06/17,00:00,604.4000000,49777
RNFT,D,06/07/17,00:00,600.0000000,65646
RNFT,D,06/08/17,00:00,601.2000000,68310
RNFT,D,06/09/17,00:00,601.3000000,60273
RNFT,D,06/13/17,00:00,601.1000000,108058
RNFT,D,06/14/17,00:00,600.7000000,280385
RNFT,D,06/15/17,00:00,598.0000000,434251
RNFT,D,06/16/17,00:00,576.4000000,470543
RNFT,D,06/19/17,00:00,592.3000000,118718
RNFT,D,06/20/17,00:00,594.7000000,40765
RNFT,D,06/21/17,00:00,596.7000000,32523
RNFT,D,06/22/17,00:00,596.9000000,31745
RNFT,D,06/23/17,00:00,602.0000000,178176
RNFT,D,06/26/17,00:00,601.0000000,34265
RNFT,D,06/27/17,00:00,599.7000000,30276
RNFT,D,06/28/17,00:00,602.0000000,153007
RNFT,D,06/29/17,00:00,600.8000000,37174
RNFT,D,06/30/17,00:00,601.0000000,26065
RNFT,D,07/03/17,00:00,601.1000000,35333
RNFT,D,07/04/17,00:00,601.1000000,26699
RNFT,D,07/05/17,00:00,600.5000000,34158
RNFT,D,07/06/17,00:00,600.8000000,32290
