<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
ROSN,D,01/11/10,00:00,271.7000000,11380966
ROSN,D,01/12/10,00:00,266.5200000,7192010
ROSN,D,01/13/10,00:00,267.5400000,8879283
ROSN,D,01/14/10,00:00,268.0000000,6484006
ROSN,D,01/15/10,00:00,268.5000000,6832415
ROSN,D,01/18/10,00:00,270.8700000,5106808
ROSN,D,01/19/10,00:00,269.7300000,8791071
ROSN,D,01/20/10,00:00,264.8000000,7797022
ROSN,D,01/21/10,00:00,257.0000000,10912616
ROSN,D,01/22/10,00:00,248.3200000,14980794
ROSN,D,01/25/10,00:00,251.5000000,10925795
ROSN,D,01/26/10,00:00,238.4900000,19528428
ROSN,D,01/27/10,00:00,234.0500000,29138774
ROSN,D,01/28/10,00:00,237.4800000,22014180
ROSN,D,01/29/10,00:00,236.2500000,19558991
ROSN,D,02/01/10,00:00,233.5000000,19872042
ROSN,D,02/02/10,00:00,241.9900000,25772686
ROSN,D,02/03/10,00:00,237.6100000,26252365
ROSN,D,02/04/10,00:00,231.7000000,22464159
ROSN,D,02/05/10,00:00,223.5500000,28074509
ROSN,D,02/08/10,00:00,216.8800000,22511596
ROSN,D,02/09/10,00:00,220.6700000,21765387
ROSN,D,02/10/10,00:00,219.0000000,24158938
ROSN,D,02/11/10,00:00,223.9300000,20320294
ROSN,D,02/12/10,00:00,222.6000000,18408777
ROSN,D,02/15/10,00:00,225.7000000,7925032
ROSN,D,02/16/10,00:00,233.4500000,21416819
ROSN,D,02/17/10,00:00,231.3900000,23953695
ROSN,D,02/18/10,00:00,229.2000000,16743723
ROSN,D,02/19/10,00:00,236.2500000,21140128
ROSN,D,02/24/10,00:00,230.2500000,14903940
ROSN,D,02/25/10,00:00,227.1100000,10635949
ROSN,D,02/26/10,00:00,230.9500000,12627473
ROSN,D,02/27/10,00:00,231.2000000,2053859
ROSN,D,03/01/10,00:00,235.1100000,12858592
ROSN,D,03/02/10,00:00,236.5300000,13539576
ROSN,D,03/03/10,00:00,238.3500000,12067380
ROSN,D,03/04/10,00:00,238.5000000,12667936
ROSN,D,03/05/10,00:00,243.4400000,13200876
ROSN,D,03/09/10,00:00,239.7800000,13125891
ROSN,D,03/10/10,00:00,237.5000000,12857696
ROSN,D,03/11/10,00:00,237.5600000,12447337
ROSN,D,03/12/10,00:00,239.1700000,10538488
ROSN,D,03/15/10,00:00,235.5900000,8672316
ROSN,D,03/16/10,00:00,237.6600000,8804940
ROSN,D,03/17/10,00:00,233.3500000,43143885
ROSN,D,03/18/10,00:00,232.4000000,14579745
ROSN,D,03/19/10,00:00,228.5200000,11817390
ROSN,D,03/22/10,00:00,225.1000000,14933507
ROSN,D,03/23/10,00:00,223.8300000,12151322
ROSN,D,03/24/10,00:00,225.7000000,13425516
ROSN,D,03/25/10,00:00,225.5000000,9476655
ROSN,D,03/26/10,00:00,233.4100000,15647373
ROSN,D,03/29/10,00:00,235.0000000,9999052
ROSN,D,03/30/10,00:00,235.2000000,8862694
ROSN,D,03/31/10,00:00,233.5600000,11865564
ROSN,D,04/01/10,00:00,237.1000000,9667925
