<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SNGS,D,01/11/10,00:00,28.2890000,20689600
SNGS,D,01/12/10,00:00,27.5630000,16767500
SNGS,D,01/13/10,00:00,27.7390000,21221400
SNGS,D,01/14/10,00:00,27.6790000,19757800
SNGS,D,01/15/10,00:00,27.4870000,22076300
SNGS,D,01/18/10,00:00,27.9870000,16562500
SNGS,D,01/19/10,00:00,27.8500000,17645800
SNGS,D,01/20/10,00:00,27.4390000,26191500
SNGS,D,01/21/10,00:00,27.1420000,30638500
SNGS,D,01/22/10,00:00,26.6040000,18715600
SNGS,D,01/25/10,00:00,26.4100000,22627100
SNGS,D,01/26/10,00:00,25.8200000,27860500
SNGS,D,01/27/10,00:00,25.4500000,22374500
SNGS,D,01/28/10,00:00,26.0520000,33060300
SNGS,D,01/29/10,00:00,25.6550000,34922700
SNGS,D,02/01/10,00:00,25.3820000,25847700
SNGS,D,02/02/10,00:00,25.7710000,34097600
SNGS,D,02/03/10,00:00,25.7300000,30460700
SNGS,D,02/04/10,00:00,25.3380000,23201800
SNGS,D,02/05/10,00:00,24.7000000,38434300
SNGS,D,02/08/10,00:00,24.3990000,30211700
SNGS,D,02/09/10,00:00,24.4310000,25555500
SNGS,D,02/10/10,00:00,24.2000000,28053200
SNGS,D,02/11/10,00:00,24.3540000,24323900
SNGS,D,02/12/10,00:00,23.9010000,32043100
SNGS,D,02/15/10,00:00,24.4960000,18081200
SNGS,D,02/16/10,00:00,24.9950000,28588600
SNGS,D,02/17/10,00:00,24.7020000,30843600
SNGS,D,02/18/10,00:00,24.4510000,31193400
SNGS,D,02/19/10,00:00,25.0090000,28433300
SNGS,D,02/24/10,00:00,24.8000000,24392800
SNGS,D,02/25/10,00:00,24.1840000,20778600
SNGS,D,02/26/10,00:00,24.6890000,18264600
SNGS,D,02/27/10,00:00,24.4000000,11805300
SNGS,D,03/01/10,00:00,25.1900000,28925500
SNGS,D,03/02/10,00:00,25.1800000,26654500
SNGS,D,03/03/10,00:00,25.5500000,22298400
SNGS,D,03/04/10,00:00,25.8590000,27573700
SNGS,D,03/05/10,00:00,26.2030000,23024200
SNGS,D,03/09/10,00:00,26.1000000,18682100
SNGS,D,03/10/10,00:00,25.9080000,20223800
SNGS,D,03/11/10,00:00,25.4500000,20854300
SNGS,D,03/12/10,00:00,25.8200000,34132900
SNGS,D,03/15/10,00:00,25.7020000,20532500
SNGS,D,03/16/10,00:00,25.8690000,18518000
SNGS,D,03/17/10,00:00,25.8490000,28619000
SNGS,D,03/18/10,00:00,26.0000000,21855400
SNGS,D,03/19/10,00:00,27.9700000,150258700
SNGS,D,03/22/10,00:00,27.7780000,67838100
SNGS,D,03/23/10,00:00,28.0300000,39912500
SNGS,D,03/24/10,00:00,27.8800000,26368500
SNGS,D,03/25/10,00:00,28.1950000,26429000
SNGS,D,03/26/10,00:00,28.1290000,20471900
SNGS,D,03/29/10,00:00,29.2800000,39914100
SNGS,D,03/30/10,00:00,29.1130000,30698000
SNGS,D,03/31/10,00:00,28.8900000,31016800
SNGS,D,04/01/10,00:00,29.3490000,45669400
SNGS,D,04/02/10,00:00,29.0250000,15514300
SNGS,D,04/05/10,00:00,29.1990000,10292000
SNGS,D,04/06/10,00:00,29.5600000,34303700
SNGS,D,04/07/10,00:00,29.1100000,21267500
SNGS,D,04/08/10,00:00,28.7760000,24297700
SNGS,D,04/09/10,00:00,29.1010000,27556500
SNGS,D,04/12/10,00:00,29.0010000,17110600
SNGS,D,04/13/10,00:00,29.0010000,15732600
SNGS,D,04/14/10,00:00,29.3290000,20555300
SNGS,D,04/15/10,00:00,29.5000000,28293000
SNGS,D,04/16/10,00:00,28.9500000,17099100
SNGS,D,04/19/10,00:00,28.8000000,27830000
SNGS,D,04/20/10,00:00,28.8200000,17104400
SNGS,D,04/21/10,00:00,29.2000000,26778600
SNGS,D,04/22/10,00:00,28.7990000,21972800
SNGS,D,04/23/10,00:00,29.1450000,20880700
SNGS,D,04/26/10,00:00,29.2000000,11526800
SNGS,D,04/27/10,00:00,28.9700000,11827700
SNGS,D,04/28/10,00:00,28.4200000,38356700
SNGS,D,04/29/10,00:00,28.7490000,18190800
SNGS,D,04/30/10,00:00,29.0000000,23529000
SNGS,D,05/04/10,00:00,28.4800000,21290100
SNGS,D,05/05/10,00:00,28.5710000,41446000
SNGS,D,05/06/10,00:00,28.9400000,29213600
SNGS,D,05/07/10,00:00,27.7110000,41473500
SNGS,D,05/11/10,00:00,28.9890000,31200700
SNGS,D,05/12/10,00:00,29.4490000,31254600
SNGS,D,05/13/10,00:00,29.3510000,33213000
SNGS,D,05/14/10,00:00,28.5990000,24413500
SNGS,D,05/17/10,00:00,28.8550000,22593200
SNGS,D,05/18/10,00:00,28.4440000,22076400
SNGS,D,05/19/10,00:00,27.0020000,27293700
SNGS,D,05/20/10,00:00,26.0520000,37353800
SNGS,D,05/21/10,00:00,26.0620000,35866600
SNGS,D,05/24/10,00:00,26.8980000,27843700
SNGS,D,05/25/10,00:00,24.7500000,29435000
SNGS,D,05/26/10,00:00,25.5550000,33976400
SNGS,D,05/27/10,00:00,27.7500000,39989900
SNGS,D,05/28/10,00:00,27.3990000,29879000
SNGS,D,05/31/10,00:00,28.3900000,14769500
SNGS,D,06/01/10,00:00,27.3900000,32957000
SNGS,D,06/02/10,00:00,28.5510000,33396400
SNGS,D,06/03/10,00:00,28.5700000,29154600
SNGS,D,06/04/10,00:00,27.6120000,37566400
SNGS,D,06/07/10,00:00,27.5010000,25461300
SNGS,D,06/08/10,00:00,27.0900000,31094600
SNGS,D,06/09/10,00:00,27.4440000,22689100
SNGS,D,06/10/10,00:00,28.8710000,43066500
SNGS,D,06/11/10,00:00,29.2030000,42258000
SNGS,D,06/15/10,00:00,29.3210000,27730900
SNGS,D,06/16/10,00:00,28.7940000,29447900
SNGS,D,06/17/10,00:00,28.4710000,30695900
SNGS,D,06/18/10,00:00,28.6750000,24959700
SNGS,D,06/21/10,00:00,29.4720000,21687500
SNGS,D,06/22/10,00:00,28.9300000,19086600
SNGS,D,06/23/10,00:00,29.3990000,17107700
SNGS,D,06/24/10,00:00,28.9990000,26244100
SNGS,D,06/25/10,00:00,28.6000000,20744200
SNGS,D,06/28/10,00:00,28.8890000,26342000
SNGS,D,06/29/10,00:00,28.3270000,26601600
SNGS,D,06/30/10,00:00,27.9000000,23276200
SNGS,D,07/01/10,00:00,26.5890000,22965600
SNGS,D,07/02/10,00:00,27.3410000,22608200
SNGS,D,07/05/10,00:00,27.5000000,13090500
SNGS,D,07/06/10,00:00,27.9550000,12746200
SNGS,D,07/07/10,00:00,27.7020000,22478900
SNGS,D,07/08/10,00:00,27.6400000,21385400
SNGS,D,07/09/10,00:00,27.6770000,20855200
SNGS,D,07/12/10,00:00,28.0260000,16975300
SNGS,D,07/13/10,00:00,28.1300000,22608100
SNGS,D,07/14/10,00:00,28.3910000,17748700
SNGS,D,07/15/10,00:00,27.8960000,23246900
SNGS,D,07/16/10,00:00,27.6460000,20407400
SNGS,D,07/19/10,00:00,27.8460000,11020500
SNGS,D,07/20/10,00:00,27.8880000,16684700
SNGS,D,07/21/10,00:00,29.0550000,26991700
SNGS,D,07/22/10,00:00,29.5090000,23215200
SNGS,D,07/23/10,00:00,29.8560000,21972100
SNGS,D,07/26/10,00:00,30.5370000,30368800
SNGS,D,07/27/10,00:00,30.7070000,29744400
SNGS,D,07/28/10,00:00,30.2470000,19628000
SNGS,D,07/29/10,00:00,30.8000000,16052900
SNGS,D,07/30/10,00:00,30.7920000,28185800
SNGS,D,08/02/10,00:00,31.2070000,17709000
SNGS,D,08/03/10,00:00,30.4790000,22431000
SNGS,D,08/04/10,00:00,30.5650000,18591000
SNGS,D,08/05/10,00:00,30.4600000,14423400
SNGS,D,08/06/10,00:00,30.2110000,15782000
SNGS,D,08/09/10,00:00,30.3730000,13751600
SNGS,D,08/10/10,00:00,29.6750000,20688100
SNGS,D,08/11/10,00:00,29.3020000,20135100
SNGS,D,08/12/10,00:00,28.9800000,19159800
SNGS,D,08/13/10,00:00,28.7010000,14439100
SNGS,D,08/16/10,00:00,28.3000000,16928700
SNGS,D,08/17/10,00:00,28.4860000,19621200
SNGS,D,08/18/10,00:00,28.3470000,10141400
SNGS,D,08/19/10,00:00,27.9680000,20796900
SNGS,D,08/20/10,00:00,27.5400000,19693700
SNGS,D,08/23/10,00:00,27.7000000,19365200
SNGS,D,08/24/10,00:00,27.1970000,16865700
SNGS,D,08/25/10,00:00,27.8000000,18654700
SNGS,D,08/26/10,00:00,27.8220000,14572100
SNGS,D,08/27/10,00:00,28.3380000,17661300
SNGS,D,08/30/10,00:00,28.3040000,8773900
SNGS,D,08/31/10,00:00,28.9480000,22355700
SNGS,D,09/01/10,00:00,29.6170000,23213400
SNGS,D,09/02/10,00:00,29.9000000,22353000
SNGS,D,09/03/10,00:00,30.3100000,20478300
SNGS,D,09/06/10,00:00,30.1790000,9803500
SNGS,D,09/07/10,00:00,30.4510000,15773500
SNGS,D,09/08/10,00:00,30.6030000,15210500
SNGS,D,09/09/10,00:00,30.5900000,17962500
SNGS,D,09/10/10,00:00,30.7090000,12101600
SNGS,D,09/13/10,00:00,30.8640000,23413000
SNGS,D,09/14/10,00:00,30.7650000,18935000
SNGS,D,09/15/10,00:00,30.7500000,20516200
SNGS,D,09/16/10,00:00,30.0970000,22667500
SNGS,D,09/17/10,00:00,29.4800000,11977400
SNGS,D,09/20/10,00:00,29.6310000,9330100
SNGS,D,09/21/10,00:00,29.5600000,10766200
SNGS,D,09/22/10,00:00,29.1890000,13769800
SNGS,D,09/23/10,00:00,28.7120000,16664900
SNGS,D,09/24/10,00:00,28.5100000,21389800
SNGS,D,09/27/10,00:00,28.9400000,26653400
SNGS,D,09/28/10,00:00,28.7500000,16189800
SNGS,D,09/29/10,00:00,28.9500000,14445400
SNGS,D,09/30/10,00:00,29.3110000,17899600
SNGS,D,10/01/10,00:00,29.4490000,20544300
SNGS,D,10/04/10,00:00,29.9000000,23670800
SNGS,D,10/05/10,00:00,30.0600000,16953600
SNGS,D,10/06/10,00:00,29.9620000,22814400
SNGS,D,10/07/10,00:00,29.9050000,16532000
SNGS,D,10/08/10,00:00,30.0430000,12657500
SNGS,D,10/11/10,00:00,30.1110000,10841200
SNGS,D,10/12/10,00:00,30.2590000,14918100
SNGS,D,10/13/10,00:00,30.6430000,20456100
SNGS,D,10/14/10,00:00,30.3400000,14760500
SNGS,D,10/15/10,00:00,30.0870000,14983400
SNGS,D,10/18/10,00:00,30.1460000,10497500
SNGS,D,10/19/10,00:00,30.0990000,13374400
SNGS,D,10/20/10,00:00,29.7370000,13786700
SNGS,D,10/21/10,00:00,30.0730000,18473800
SNGS,D,10/22/10,00:00,29.8510000,15294500
SNGS,D,10/25/10,00:00,29.9550000,15918400
SNGS,D,10/26/10,00:00,30.2030000,18392600
