<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
SNGSP,D,01/11/10,00:00,15.4070000,35785300
SNGSP,D,01/12/10,00:00,15.4000000,20368100
SNGSP,D,01/13/10,00:00,15.4970000,17952500
SNGSP,D,01/14/10,00:00,15.4010000,29725800
SNGSP,D,01/15/10,00:00,15.4100000,16850700
SNGSP,D,01/18/10,00:00,15.4100000,17718500
SNGSP,D,01/19/10,00:00,15.1900000,38096000
SNGSP,D,01/20/10,00:00,15.2210000,24014800
SNGSP,D,01/21/10,00:00,15.1660000,18909800
SNGSP,D,01/22/10,00:00,14.9800000,25361300
SNGSP,D,01/25/10,00:00,14.9830000,17179600
SNGSP,D,01/26/10,00:00,14.6890000,17145700
SNGSP,D,01/27/10,00:00,14.3990000,34295600
SNGSP,D,01/28/10,00:00,14.5050000,24551700
SNGSP,D,01/29/10,00:00,14.4300000,18045000
SNGSP,D,02/01/10,00:00,14.4290000,8853600
SNGSP,D,02/02/10,00:00,14.5300000,16208100
SNGSP,D,02/03/10,00:00,14.5510000,22201600
SNGSP,D,02/04/10,00:00,14.4780000,22801500
SNGSP,D,02/05/10,00:00,13.9980000,24919700
SNGSP,D,02/08/10,00:00,13.8830000,17294900
SNGSP,D,02/09/10,00:00,14.0510000,11760600
SNGSP,D,02/10/10,00:00,14.2490000,21375600
SNGSP,D,02/11/10,00:00,14.4730000,15051600
SNGSP,D,02/12/10,00:00,14.2300000,15673000
SNGSP,D,02/15/10,00:00,14.1000000,9104300
SNGSP,D,02/16/10,00:00,14.3960000,12030200
SNGSP,D,02/17/10,00:00,14.3900000,17452000
SNGSP,D,02/18/10,00:00,14.3070000,12878600
SNGSP,D,02/19/10,00:00,14.3760000,19048900
SNGSP,D,02/24/10,00:00,14.4900000,9211900
SNGSP,D,02/25/10,00:00,14.3780000,10087000
SNGSP,D,02/26/10,00:00,15.0510000,28504800
SNGSP,D,02/27/10,00:00,14.9690000,5640700
SNGSP,D,03/01/10,00:00,15.1200000,12864000
SNGSP,D,03/02/10,00:00,15.1590000,12162900
SNGSP,D,03/03/10,00:00,15.1880000,20744600
SNGSP,D,03/04/10,00:00,15.3400000,19221900
SNGSP,D,03/05/10,00:00,15.4990000,10635400
SNGSP,D,03/09/10,00:00,15.5500000,14940700
SNGSP,D,03/10/10,00:00,15.7300000,17184300
SNGSP,D,03/11/10,00:00,15.7940000,16011400
SNGSP,D,03/12/10,00:00,16.0300000,29271200
SNGSP,D,03/15/10,00:00,15.9300000,10554100
SNGSP,D,03/16/10,00:00,16.0380000,13100200
SNGSP,D,03/17/10,00:00,16.2000000,15772700
SNGSP,D,03/18/10,00:00,16.0290000,15074300
SNGSP,D,03/19/10,00:00,16.2000000,34119800
SNGSP,D,03/22/10,00:00,16.0050000,11337000
SNGSP,D,03/23/10,00:00,16.2200000,18228700
SNGSP,D,03/24/10,00:00,16.1950000,11487000
SNGSP,D,03/25/10,00:00,16.2950000,11946700
SNGSP,D,03/26/10,00:00,16.1990000,13701800
SNGSP,D,03/29/10,00:00,16.4990000,15244000
SNGSP,D,03/30/10,00:00,16.3840000,19360500
SNGSP,D,03/31/10,00:00,16.5250000,48620500
SNGSP,D,04/01/10,00:00,17.0490000,43964400
SNGSP,D,04/02/10,00:00,17.0310000,9679600
SNGSP,D,04/05/10,00:00,17.0350000,7376500
SNGSP,D,04/06/10,00:00,17.0490000,10997500
SNGSP,D,04/07/10,00:00,17.0300000,22950100
SNGSP,D,04/08/10,00:00,16.9180000,25704700
SNGSP,D,04/09/10,00:00,16.9190000,14494200
SNGSP,D,04/12/10,00:00,17.0000000,16910500
SNGSP,D,04/13/10,00:00,17.0290000,10217500
SNGSP,D,04/14/10,00:00,17.5000000,30180300
SNGSP,D,04/15/10,00:00,17.4010000,23100000
SNGSP,D,04/16/10,00:00,16.9810000,25266300
SNGSP,D,04/19/10,00:00,16.8060000,33045400
SNGSP,D,04/20/10,00:00,16.8100000,14608100
SNGSP,D,04/21/10,00:00,16.8000000,13390100
SNGSP,D,04/22/10,00:00,16.4870000,17200200
SNGSP,D,04/23/10,00:00,16.5850000,18015100
SNGSP,D,04/26/10,00:00,16.5890000,12896100
SNGSP,D,04/27/10,00:00,16.4500000,22592100
SNGSP,D,04/28/10,00:00,16.1970000,20179500
SNGSP,D,04/29/10,00:00,16.1270000,22179700
SNGSP,D,04/30/10,00:00,15.6990000,23779200
SNGSP,D,05/04/10,00:00,15.5000000,16328200
SNGSP,D,05/05/10,00:00,15.3950000,14715500
SNGSP,D,05/06/10,00:00,15.3000000,13705200
SNGSP,D,05/07/10,00:00,14.4500000,21797300
SNGSP,D,05/11/10,00:00,14.9190000,35142900
SNGSP,D,05/12/10,00:00,15.4370000,18229500
SNGSP,D,05/13/10,00:00,15.4100000,20687700
SNGSP,D,05/14/10,00:00,15.0450000,26686800
SNGSP,D,05/17/10,00:00,13.9880000,53542900
SNGSP,D,05/18/10,00:00,13.8770000,16916000
