<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
TATN,D,01/11/10,00:00,144.2000000,2327087
TATN,D,01/12/10,00:00,142.7600000,1182257
TATN,D,01/13/10,00:00,144.5000000,1430881
TATN,D,01/14/10,00:00,144.0800000,1299912
TATN,D,01/15/10,00:00,145.2500000,1371648
TATN,D,01/18/10,00:00,145.9900000,877660
TATN,D,01/19/10,00:00,145.0000000,1120141
TATN,D,01/20/10,00:00,144.2200000,1063080
TATN,D,01/21/10,00:00,141.0000000,1210708
TATN,D,01/22/10,00:00,138.9900000,1751429
TATN,D,01/25/10,00:00,141.1100000,1485818
TATN,D,01/26/10,00:00,138.5000000,1402743
TATN,D,01/27/10,00:00,139.5000000,1186494
TATN,D,01/28/10,00:00,142.0100000,1766918
TATN,D,01/29/10,00:00,144.0000000,1353707
TATN,D,02/01/10,00:00,141.8600000,1082618
TATN,D,02/02/10,00:00,142.3500000,1546889
TATN,D,02/03/10,00:00,141.5600000,1575721
TATN,D,02/04/10,00:00,141.2800000,1134645
TATN,D,02/05/10,00:00,137.5000000,2424694
TATN,D,02/08/10,00:00,135.3100000,1353852
TATN,D,02/09/10,00:00,139.5100000,1723042
TATN,D,02/10/10,00:00,139.8300000,1250114
TATN,D,02/11/10,00:00,140.9000000,1137031
TATN,D,02/12/10,00:00,139.8900000,1610799
TATN,D,02/15/10,00:00,139.7000000,596325
TATN,D,02/16/10,00:00,140.8600000,1383798
TATN,D,02/17/10,00:00,140.9500000,1843007
TATN,D,02/18/10,00:00,140.0000000,945707
TATN,D,02/19/10,00:00,141.0000000,1135409
TATN,D,02/24/10,00:00,141.7900000,973724
TATN,D,02/25/10,00:00,136.9000000,1146076
TATN,D,02/26/10,00:00,139.0500000,756771
TATN,D,02/27/10,00:00,140.9800000,379611
TATN,D,03/01/10,00:00,142.0800000,1354696
TATN,D,03/02/10,00:00,141.7800000,1032760
TATN,D,03/03/10,00:00,141.6400000,1018221
TATN,D,03/04/10,00:00,143.7500000,2993408
TATN,D,03/05/10,00:00,147.5100000,2359903
TATN,D,03/09/10,00:00,147.0000000,1457913
TATN,D,03/10/10,00:00,146.6900000,1877284
TATN,D,03/11/10,00:00,143.9500000,1097561
TATN,D,03/12/10,00:00,146.5100000,2311862
TATN,D,03/15/10,00:00,144.2500000,1694799
TATN,D,03/16/10,00:00,145.6900000,1332873
TATN,D,03/17/10,00:00,147.2000000,1484561
TATN,D,03/18/10,00:00,145.1400000,1336497
TATN,D,03/19/10,00:00,143.2100000,1525080
TATN,D,03/22/10,00:00,143.2100000,1019680
TATN,D,03/23/10,00:00,142.0800000,1209746
TATN,D,03/24/10,00:00,141.1100000,1457956
TATN,D,03/25/10,00:00,143.7500000,1174529
TATN,D,03/26/10,00:00,143.9800000,918097
TATN,D,03/29/10,00:00,145.7400000,860044
TATN,D,03/30/10,00:00,145.8200000,1228205
TATN,D,03/31/10,00:00,145.9100000,1349990
TATN,D,04/01/10,00:00,147.6000000,3256179
TATN,D,04/02/10,00:00,145.8200000,922455
TATN,D,04/05/10,00:00,146.5000000,615257
TATN,D,04/06/10,00:00,147.9900000,3265038
TATN,D,04/07/10,00:00,146.8600000,2098068
TATN,D,04/08/10,00:00,146.2000000,1603762
TATN,D,04/09/10,00:00,146.1900000,2033560
