<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
TATNP,D,01/11/10,00:00,79.4000000,223966
TATNP,D,01/12/10,00:00,80.3200000,144071
TATNP,D,01/13/10,00:00,80.8900000,156737
TATNP,D,01/14/10,00:00,79.8500000,151699
TATNP,D,01/15/10,00:00,79.9700000,206198
TATNP,D,01/18/10,00:00,80.0900000,53286
TATNP,D,01/19/10,00:00,79.9000000,101739
TATNP,D,01/20/10,00:00,78.5000000,198720
TATNP,D,01/21/10,00:00,77.9200000,65948
TATNP,D,01/22/10,00:00,76.3000000,159140
TATNP,D,01/25/10,00:00,76.4100000,81249
TATNP,D,01/26/10,00:00,76.5000000,271007
TATNP,D,01/27/10,00:00,76.0000000,253238
TATNP,D,01/28/10,00:00,76.6000000,176531
TATNP,D,01/29/10,00:00,76.7000000,63984
TATNP,D,02/01/10,00:00,76.4800000,34781
TATNP,D,02/02/10,00:00,76.7800000,298740
TATNP,D,02/03/10,00:00,76.6500000,147417
TATNP,D,02/04/10,00:00,73.9700000,127456
TATNP,D,02/05/10,00:00,70.4900000,518970
TATNP,D,02/08/10,00:00,67.5000000,289426
TATNP,D,02/09/10,00:00,69.7800000,232237
TATNP,D,02/10/10,00:00,69.4200000,180507
TATNP,D,02/11/10,00:00,70.3500000,188174
TATNP,D,02/12/10,00:00,70.8900000,59671
TATNP,D,02/15/10,00:00,70.4000000,65778
TATNP,D,02/16/10,00:00,73.5000000,114024
TATNP,D,02/17/10,00:00,74.1800000,85615
TATNP,D,02/18/10,00:00,74.8100000,55521
TATNP,D,02/19/10,00:00,75.6100000,64175
TATNP,D,02/24/10,00:00,78.7500000,337611
TATNP,D,02/25/10,00:00,78.6500000,460512
TATNP,D,02/26/10,00:00,82.9800000,393811
TATNP,D,02/27/10,00:00,82.9500000,81310
TATNP,D,03/01/10,00:00,83.1700000,148043
TATNP,D,03/02/10,00:00,82.6000000,137212
TATNP,D,03/03/10,00:00,84.1100000,168921
TATNP,D,03/04/10,00:00,85.9400000,438299
TATNP,D,03/05/10,00:00,88.0000000,174983
TATNP,D,03/09/10,00:00,86.6700000,135232
TATNP,D,03/10/10,00:00,86.0000000,166235
TATNP,D,03/11/10,00:00,86.4900000,128417
TATNP,D,03/12/10,00:00,87.7600000,182785
TATNP,D,03/15/10,00:00,86.4500000,72651
TATNP,D,03/16/10,00:00,86.4000000,469423
TATNP,D,03/17/10,00:00,87.2100000,463416
