<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
TRNFP,D,01/11/10,00:00,24490.0000000,20468
TRNFP,D,01/12/10,00:00,24300.0000000,7348
TRNFP,D,01/13/10,00:00,24500.0000000,14530
TRNFP,D,01/14/10,00:00,25181.0000000,28391
TRNFP,D,01/15/10,00:00,25900.0000000,20844
TRNFP,D,01/18/10,00:00,27966.9900000,38785
TRNFP,D,01/19/10,00:00,27572.0100000,31682
TRNFP,D,01/20/10,00:00,26460.0000000,17963
TRNFP,D,01/21/10,00:00,26100.0000000,23185
TRNFP,D,01/22/10,00:00,25699.0000000,23398
TRNFP,D,01/25/10,00:00,25456.0000000,16236
TRNFP,D,01/26/10,00:00,24920.0000000,16288
TRNFP,D,01/27/10,00:00,24800.0100000,14327
TRNFP,D,01/28/10,00:00,25287.3400000,20201
TRNFP,D,01/29/10,00:00,25390.0000000,12512
TRNFP,D,02/01/10,00:00,25415.0100000,7218
TRNFP,D,02/02/10,00:00,26234.9900000,15666
TRNFP,D,02/03/10,00:00,26150.0000000,16934
TRNFP,D,02/04/10,00:00,25125.0000000,12092
TRNFP,D,02/05/10,00:00,24237.0000000,23004
TRNFP,D,02/08/10,00:00,23501.0200000,18670
TRNFP,D,02/09/10,00:00,24000.0000000,13469
TRNFP,D,02/10/10,00:00,23756.5100000,18018
TRNFP,D,02/11/10,00:00,23877.9900000,8893
TRNFP,D,02/12/10,00:00,22989.9800000,15970
TRNFP,D,02/15/10,00:00,23440.0000000,8216
TRNFP,D,02/16/10,00:00,24729.9900000,13892
TRNFP,D,02/17/10,00:00,24161.0000000,16465
TRNFP,D,02/18/10,00:00,23870.0000000,13027
TRNFP,D,02/19/10,00:00,23837.0000000,12113
TRNFP,D,02/24/10,00:00,23675.0500000,10316
TRNFP,D,02/25/10,00:00,23175.0000000,7152
TRNFP,D,02/26/10,00:00,23500.0000000,7381
TRNFP,D,02/27/10,00:00,23623.9900000,2976
TRNFP,D,03/01/10,00:00,23849.1000000,10640
TRNFP,D,03/02/10,00:00,24251.0000000,14643
TRNFP,D,03/03/10,00:00,25045.0000000,20548
TRNFP,D,03/04/10,00:00,24799.9900000,13330
TRNFP,D,03/05/10,00:00,25285.1700000,15775
TRNFP,D,03/09/10,00:00,24993.0100000,11491
TRNFP,D,03/10/10,00:00,24851.3300000,15865
TRNFP,D,03/11/10,00:00,24760.0000000,10424
TRNFP,D,03/12/10,00:00,24869.9900000,25261
TRNFP,D,03/15/10,00:00,25100.0000000,18818
TRNFP,D,03/16/10,00:00,25560.0000000,17832
TRNFP,D,03/17/10,00:00,25856.6900000,14411
TRNFP,D,03/18/10,00:00,25260.0000000,11317
TRNFP,D,03/19/10,00:00,25529.9900000,13513
TRNFP,D,03/22/10,00:00,25877.0000000,12710
TRNFP,D,03/23/10,00:00,25920.0200000,14231
TRNFP,D,03/24/10,00:00,26389.9700000,22900
TRNFP,D,03/25/10,00:00,28700.0000000,66447
TRNFP,D,03/26/10,00:00,30300.0000000,110560
TRNFP,D,03/29/10,00:00,29372.0000000,44170
TRNFP,D,03/30/10,00:00,31420.0000000,60822
TRNFP,D,03/31/10,00:00,33927.0800000,91138
TRNFP,D,04/01/10,00:00,35900.0100000,68196
TRNFP,D,04/02/10,00:00,36000.0000000,28992
TRNFP,D,04/05/10,00:00,39159.5000000,53868
TRNFP,D,04/06/10,00:00,36550.0000000,123238
TRNFP,D,04/07/10,00:00,34700.0000000,76088
TRNFP,D,04/08/10,00:00,35501.6900000,105981
TRNFP,D,04/09/10,00:00,37450.0000000,93504
TRNFP,D,04/12/10,00:00,37500.0600000,75433
TRNFP,D,04/13/10,00:00,37040.0000000,46919
TRNFP,D,04/14/10,00:00,36600.0000000,33202
TRNFP,D,04/15/10,00:00,35199.9900000,71764
TRNFP,D,04/16/10,00:00,34000.0000000,48175
TRNFP,D,04/19/10,00:00,32660.2000000,43770
TRNFP,D,04/20/10,00:00,32949.9900000,38771
TRNFP,D,04/21/10,00:00,32751.0000000,62331
TRNFP,D,04/22/10,00:00,32600.0000000,30195
TRNFP,D,04/23/10,00:00,32781.0000000,23465
TRNFP,D,04/26/10,00:00,32559.0000000,21002
TRNFP,D,04/27/10,00:00,31501.0000000,30947
TRNFP,D,04/28/10,00:00,30650.0000000,31929
TRNFP,D,04/29/10,00:00,32580.0000000,48876
TRNFP,D,04/30/10,00:00,31826.0100000,56060
TRNFP,D,05/04/10,00:00,31907.8300000,51870
TRNFP,D,05/05/10,00:00,30700.0000000,36285
TRNFP,D,05/06/10,00:00,28850.0000000,68825
TRNFP,D,05/07/10,00:00,25550.0000000,74875
TRNFP,D,05/11/10,00:00,26800.0000000,61776
TRNFP,D,05/12/10,00:00,29000.0000000,70797
TRNFP,D,05/13/10,00:00,28001.0000000,71307
TRNFP,D,05/14/10,00:00,28100.0000000,56987
TRNFP,D,05/17/10,00:00,28500.0000000,65478
TRNFP,D,05/18/10,00:00,29120.0000000,54825
TRNFP,D,05/19/10,00:00,27300.0000000,49898
TRNFP,D,05/20/10,00:00,26299.4700000,52700
TRNFP,D,05/21/10,00:00,26715.0000000,52025
TRNFP,D,05/24/10,00:00,27055.0000000,38121
TRNFP,D,05/25/10,00:00,24800.0000000,34052
TRNFP,D,05/26/10,00:00,25651.0000000,53485
TRNFP,D,05/27/10,00:00,26299.9900000,48886
TRNFP,D,05/28/10,00:00,26050.0000000,33093
TRNFP,D,05/31/10,00:00,26695.0000000,33768
TRNFP,D,06/01/10,00:00,26285.0000000,34029
TRNFP,D,06/02/10,00:00,26789.1800000,36160
TRNFP,D,06/03/10,00:00,27279.9300000,53930
TRNFP,D,06/04/10,00:00,27000.0000000,52521
TRNFP,D,06/07/10,00:00,26525.0000000,27757
TRNFP,D,06/08/10,00:00,25531.0000000,38943
TRNFP,D,06/09/10,00:00,26170.0000000,29265
TRNFP,D,06/10/10,00:00,26500.0000000,25517
TRNFP,D,06/11/10,00:00,25839.9900000,27696
TRNFP,D,06/15/10,00:00,26453.5000000,19676
TRNFP,D,06/16/10,00:00,26103.2200000,26276
TRNFP,D,06/17/10,00:00,26150.0000000,27713
TRNFP,D,06/18/10,00:00,26400.0000000,14518
TRNFP,D,06/21/10,00:00,28556.9800000,67396
TRNFP,D,06/22/10,00:00,28740.0000000,97732
TRNFP,D,06/23/10,00:00,27965.0100000,41775
TRNFP,D,06/24/10,00:00,28745.0000000,61856
TRNFP,D,06/25/10,00:00,28444.0000000,67763
TRNFP,D,06/28/10,00:00,28880.0000000,28051
TRNFP,D,06/29/10,00:00,27400.0000000,38461
TRNFP,D,06/30/10,00:00,27075.5500000,27461
TRNFP,D,07/01/10,00:00,25506.0000000,29411
TRNFP,D,07/02/10,00:00,26700.0000000,26567
TRNFP,D,07/05/10,00:00,26500.0000000,12657
TRNFP,D,07/06/10,00:00,27739.2900000,26354
TRNFP,D,07/07/10,00:00,27750.0000000,36007
TRNFP,D,07/08/10,00:00,27902.0100000,33014
TRNFP,D,07/09/10,00:00,27851.0000000,20628
TRNFP,D,07/12/10,00:00,27956.0000000,21774
TRNFP,D,07/13/10,00:00,28680.0000000,34190
TRNFP,D,07/14/10,00:00,28173.0000000,24690
TRNFP,D,07/15/10,00:00,27150.2100000,21781
TRNFP,D,07/16/10,00:00,27050.0100000,20617
TRNFP,D,07/19/10,00:00,27150.9900000,14174
TRNFP,D,07/20/10,00:00,27114.9900000,10190
TRNFP,D,07/21/10,00:00,27310.0000000,16466
TRNFP,D,07/22/10,00:00,27903.0400000,16968
TRNFP,D,07/23/10,00:00,27752.0000000,15025
TRNFP,D,07/26/10,00:00,29779.9900000,110055
TRNFP,D,07/27/10,00:00,29451.0000000,59884
TRNFP,D,07/28/10,00:00,28950.0000000,34435
TRNFP,D,07/29/10,00:00,32090.0000000,146527
TRNFP,D,07/30/10,00:00,34278.0000000,182432
TRNFP,D,08/02/10,00:00,34400.0000000,84350
TRNFP,D,08/03/10,00:00,33151.1900000,45270
TRNFP,D,08/04/10,00:00,33531.0000000,67517
TRNFP,D,08/05/10,00:00,32800.0000000,30535
TRNFP,D,08/06/10,00:00,31749.0000000,25669
TRNFP,D,08/09/10,00:00,31760.0000000,20723
TRNFP,D,08/10/10,00:00,30600.0000000,32279
TRNFP,D,08/11/10,00:00,30950.0000000,54233
TRNFP,D,08/12/10,00:00,30744.9000000,34481
TRNFP,D,08/13/10,00:00,30800.0000000,22277
TRNFP,D,08/16/10,00:00,30556.6300000,28980
TRNFP,D,08/17/10,00:00,31197.7800000,44706
TRNFP,D,08/18/10,00:00,30902.0100000,21381
TRNFP,D,08/19/10,00:00,31250.0000000,31853
TRNFP,D,08/20/10,00:00,31650.0400000,42391
TRNFP,D,08/23/10,00:00,32390.0100000,44461
TRNFP,D,08/24/10,00:00,31685.9900000,44034
TRNFP,D,08/25/10,00:00,33290.0000000,88947
TRNFP,D,08/26/10,00:00,33569.9900000,58626
TRNFP,D,08/27/10,00:00,33340.0000000,38715
TRNFP,D,08/30/10,00:00,33123.0000000,17090
TRNFP,D,08/31/10,00:00,32850.0000000,48048
TRNFP,D,09/01/10,00:00,33330.0000000,31508
TRNFP,D,09/02/10,00:00,33460.0000000,25407
TRNFP,D,09/03/10,00:00,33049.9900000,52814
TRNFP,D,09/06/10,00:00,32940.0000000,12641
TRNFP,D,09/07/10,00:00,32700.0000000,14760
TRNFP,D,09/08/10,00:00,33500.0000000,28185
TRNFP,D,09/09/10,00:00,34249.9700000,41660
TRNFP,D,09/10/10,00:00,34144.0000000,18345
TRNFP,D,09/13/10,00:00,33705.0000000,22304
TRNFP,D,09/14/10,00:00,34214.3700000,38049
TRNFP,D,09/15/10,00:00,35600.0000000,75821
TRNFP,D,09/16/10,00:00,34785.0000000,56770
TRNFP,D,09/17/10,00:00,34200.0100000,28641
TRNFP,D,09/20/10,00:00,34615.2600000,14970
TRNFP,D,09/21/10,00:00,35140.0000000,22032
TRNFP,D,09/22/10,00:00,34401.1000000,20593
TRNFP,D,09/23/10,00:00,33950.0100000,26001
TRNFP,D,09/24/10,00:00,34499.0000000,22739
TRNFP,D,09/27/10,00:00,33799.1900000,28521
TRNFP,D,09/28/10,00:00,33090.0000000,29575
TRNFP,D,09/29/10,00:00,33426.0000000,18492
TRNFP,D,09/30/10,00:00,33800.0000000,22616
TRNFP,D,10/01/10,00:00,33920.0000000,23748
TRNFP,D,10/04/10,00:00,33930.0300000,15317
TRNFP,D,10/05/10,00:00,34800.0000000,17750
TRNFP,D,10/06/10,00:00,34410.0000000,42189
TRNFP,D,10/07/10,00:00,33957.0100000,21535
TRNFP,D,10/08/10,00:00,34198.9600000,15782
TRNFP,D,10/11/10,00:00,34711.0000000,15245
TRNFP,D,10/12/10,00:00,34393.7700000,10119
TRNFP,D,10/13/10,00:00,34715.0000000,12242
TRNFP,D,10/14/10,00:00,35455.0000000,73212
TRNFP,D,10/15/10,00:00,37097.8700000,85032
TRNFP,D,10/18/10,00:00,37700.0000000,67298
TRNFP,D,10/19/10,00:00,38200.0100000,51136
TRNFP,D,10/20/10,00:00,38670.0000000,54946
TRNFP,D,10/21/10,00:00,36495.0000000,126089
TRNFP,D,10/22/10,00:00,36240.9800000,32884
TRNFP,D,10/25/10,00:00,36681.6600000,36016
TRNFP,D,10/26/10,00:00,36700.0000000,26148
TRNFP,D,10/27/10,00:00,37335.0000000,43755
TRNFP,D,10/28/10,00:00,36870.0000000,17674
TRNFP,D,10/29/10,00:00,36835.2000000,8800
TRNFP,D,11/01/10,00:00,36800.0000000,12752
TRNFP,D,11/02/10,00:00,36539.9900000,18294
TRNFP,D,11/03/10,00:00,36200.0000000,11257
TRNFP,D,11/08/10,00:00,36478.7600000,10018
TRNFP,D,11/09/10,00:00,36508.0100000,17728
TRNFP,D,11/10/10,00:00,35850.0000000,16080
TRNFP,D,11/11/10,00:00,38300.0000000,120060
TRNFP,D,11/12/10,00:00,39201.0000000,72794
TRNFP,D,11/13/10,00:00,39195.0000000,17836
TRNFP,D,11/15/10,00:00,39600.0000000,27441
TRNFP,D,11/16/10,00:00,39251.0000000,53230
TRNFP,D,11/17/10,00:00,40280.0000000,52048
TRNFP,D,11/18/10,00:00,39600.0100000,33848
TRNFP,D,11/19/10,00:00,39590.0000000,16329
TRNFP,D,11/22/10,00:00,39705.0000000,9134
TRNFP,D,11/23/10,00:00,39246.8900000,14482
TRNFP,D,11/24/10,00:00,39898.4900000,14321
TRNFP,D,11/25/10,00:00,40239.9800000,18913
TRNFP,D,11/26/10,00:00,40650.0000000,24169
TRNFP,D,11/29/10,00:00,40580.0000000,25213
TRNFP,D,11/30/10,00:00,41000.0000000,89317
TRNFP,D,12/01/10,00:00,40900.0000000,39198
TRNFP,D,12/02/10,00:00,41550.0000000,28412
TRNFP,D,12/03/10,00:00,41400.0000000,16898
TRNFP,D,12/06/10,00:00,41590.0300000,14512
TRNFP,D,12/07/10,00:00,41646.0000000,16853
TRNFP,D,12/08/10,00:00,41257.0000000,8479
TRNFP,D,12/09/10,00:00,41550.0000000,23767
TRNFP,D,12/10/10,00:00,41352.0000000,5009
TRNFP,D,12/13/10,00:00,41515.1000000,8145
TRNFP,D,12/14/10,00:00,41540.0000000,6917
TRNFP,D,12/15/10,00:00,41460.0000000,11423
TRNFP,D,12/16/10,00:00,41140.0000000,4346
TRNFP,D,12/17/10,00:00,41500.0000000,7758
TRNFP,D,12/20/10,00:00,41410.0000000,4058
TRNFP,D,12/21/10,00:00,41480.0000000,4669
TRNFP,D,12/22/10,00:00,41452.0100000,3125
TRNFP,D,12/23/10,00:00,40802.0000000,10970
TRNFP,D,12/24/10,00:00,40080.0000000,11131
TRNFP,D,12/27/10,00:00,39945.0100000,11890
TRNFP,D,12/28/10,00:00,38980.0000000,17419
TRNFP,D,12/29/10,00:00,38147.9800000,20099
TRNFP,D,12/30/10,00:00,37795.0000000,30894
TRNFP,D,01/11/11,00:00,39600.0000000,22960
TRNFP,D,01/12/11,00:00,40868.7500000,25580
TRNFP,D,01/13/11,00:00,40200.0000000,14595
TRNFP,D,01/14/11,00:00,40130.0000000,10681
TRNFP,D,01/17/11,00:00,40300.0000000,7941
TRNFP,D,01/18/11,00:00,40150.0000000,14401
TRNFP,D,01/19/11,00:00,40200.0000000,10970
TRNFP,D,01/20/11,00:00,39560.0000000,12718
TRNFP,D,01/21/11,00:00,39710.0000000,6542
TRNFP,D,01/24/11,00:00,38884.2800000,11715
TRNFP,D,01/25/11,00:00,38323.0900000,8669
TRNFP,D,01/26/11,00:00,38699.0000000,9616
TRNFP,D,01/27/11,00:00,38700.0000000,11702
TRNFP,D,01/28/11,00:00,38396.0900000,4656
TRNFP,D,01/31/11,00:00,38698.9900000,11780
TRNFP,D,02/01/11,00:00,39230.0000000,12032
TRNFP,D,02/02/11,00:00,39400.0000000,28386
TRNFP,D,02/03/11,00:00,38582.0600000,16006
TRNFP,D,02/04/11,00:00,39499.9600000,13030
TRNFP,D,02/07/11,00:00,39393.9300000,6389
TRNFP,D,02/08/11,00:00,38176.0000000,12878
TRNFP,D,02/09/11,00:00,38135.0000000,8729
TRNFP,D,02/10/11,00:00,37213.0100000,14406
TRNFP,D,02/11/11,00:00,38800.0000000,21711
TRNFP,D,02/14/11,00:00,38510.0000000,9561
TRNFP,D,02/15/11,00:00,39042.0100000,19319
TRNFP,D,02/16/11,00:00,39249.2200000,8867
TRNFP,D,02/17/11,00:00,39130.0000000,4731
TRNFP,D,02/18/11,00:00,38650.0000000,5311
TRNFP,D,02/21/11,00:00,39600.0000000,26325
TRNFP,D,02/22/11,00:00,39200.0000000,18650
TRNFP,D,02/24/11,00:00,38800.0000000,12642
TRNFP,D,02/25/11,00:00,39950.0000000,18762
TRNFP,D,02/28/11,00:00,40900.0000000,30338
TRNFP,D,03/01/11,00:00,40210.0000000,13541
TRNFP,D,03/02/11,00:00,40411.0000000,8563
TRNFP,D,03/03/11,00:00,40974.0000000,16152
TRNFP,D,03/04/11,00:00,40275.0000000,7980
TRNFP,D,03/05/11,00:00,40498.0000000,2227
TRNFP,D,03/09/11,00:00,40624.0000000,7991
TRNFP,D,03/10/11,00:00,39650.0000000,13299
TRNFP,D,03/11/11,00:00,39650.0000000,8002
TRNFP,D,03/14/11,00:00,39755.0000000,7205
TRNFP,D,03/15/11,00:00,38847.0000000,15591
TRNFP,D,03/16/11,00:00,38751.0000000,18378
TRNFP,D,03/17/11,00:00,38800.0000000,11988
TRNFP,D,03/18/11,00:00,38460.0000000,12584
TRNFP,D,03/21/11,00:00,38549.0000000,8933
TRNFP,D,03/22/11,00:00,38377.0000000,10293
TRNFP,D,03/23/11,00:00,38799.0000000,8669
TRNFP,D,03/24/11,00:00,39400.0000000,14557
TRNFP,D,03/25/11,00:00,39505.0000000,7030
TRNFP,D,03/28/11,00:00,40564.0000000,21861
TRNFP,D,03/29/11,00:00,39830.0000000,12493
TRNFP,D,03/30/11,00:00,41201.0000000,39254
TRNFP,D,03/31/11,00:00,41821.0000000,31421
TRNFP,D,04/01/11,00:00,42400.0000000,46411
TRNFP,D,04/04/11,00:00,44871.0000000,50492
TRNFP,D,04/05/11,00:00,44871.0000000,43280
TRNFP,D,04/06/11,00:00,45200.0000000,22465
TRNFP,D,04/07/11,00:00,44600.0000000,15264
TRNFP,D,04/08/11,00:00,46120.0000000,50204
TRNFP,D,04/11/11,00:00,46001.0000000,24248
TRNFP,D,04/12/11,00:00,43490.0000000,38186
TRNFP,D,04/13/11,00:00,43485.0000000,25054
TRNFP,D,04/14/11,00:00,44091.0000000,24391
TRNFP,D,04/15/11,00:00,43016.0000000,13730
TRNFP,D,04/18/11,00:00,40849.0000000,36935
TRNFP,D,04/19/11,00:00,40949.0000000,20217
TRNFP,D,04/20/11,00:00,42106.0000000,31195
